Variavel; range [|] ou conjunto{}; default nao obrigatorio
PRK001; {0 1};0
PRK002; {0 1};1
PRK003; {0 1};0
PRK004; {0 1};0
PRK005; {0 1};1
PRK006; {0 1};0
PRK009; {0 1};1
PRK010; {0 1};0
PRK011; {0 1};1
PRK012; {0 1};0
PRK013; {0 1};0
PRK014; {0 1};0
PRK015; {0 1};0
PRK018; {0 1};1
PRK019; {0 1};1
PRK020; {0 1};1
PRK021; {0 1};0
PRK022; {0 1};1
PRK023; {0 1};1
PRK027; {0 1};0
PRK028; {0 1};0
PRK030; {0 1};1
IRK001; {0 1};1
IRK002; {0 1};1
IRK003; {0 1};0
IRK004; {0 1};1
IRK005; {0 1};1
IRK006; {0 1};0
IRK009; {0 1};0
IRK010; {0 1};1
IRK011; {0 1};1
IRK012; {0 1};1
IRK013; {0 1};0
IRK014; {0 1};1
IRK015; {0 1};1
IRK017; {0 1};0
IRK018; {0 1};1
IRK019; {0 1};1
IRK020; {0 1};1
IRK021; {0 1};1
IRK022; {0 1};0
IRK023; {0 1};1
IRK024; {0 1};1
IRK027; {0 1};0
IRK028; {0 1};0
IRK029; {0 1};1
IRK030; {0 1};0
IRK031; {0 1};1
