Variavel; range [|] ou conjunto{}; default nao obrigatorio 
var1 ; [-25|25]; 9
var2 ; [-25|25]; -6
var3 ; [-25|25]; -8
var4 ; [-25|25]; 1
var5 ; [-25|25]; -1
var6 ; [-25|25]; 21
var7 ; [-25|25]; 21
var8 ; [-25|25]; 14
var9 ; [-25|25]; 7
var10; [-25|25]; -21
var11; [-25|25]; -4
var12; [-25|25]; -19
var13; [-25|25]; -22
var14; [-25|25]; 21
var15; [-25|25]; -18
var16; [-25|25]; -8
var17; [-25|25]; 18
var18; [-25|25]; 18
var19; [-25|25]; 0
var20; [-25|25]; 4
var21; [-25|25]; -22
var22; [-25|25]; 18
var23; [-25|25]; -13
var24; [-25|25]; -18
var25; [-25|25]; -24
var26; [-25|25]; -15
var27; [-25|25]; 15
var28; [-25|25]; 23
var29; [-25|25]; 12
var30; [-25|25]; -4
var31; [-25|25]; 2
var32; [-25|25]; -17
var33; [-25|25]; -21
var34; [-25|25]; -2
var35; [-25|25]; 24
var36; [-25|25]; -18
var37; [-25|25]; -9
var38; [-25|25]; -2
var39; [-25|25]; -4
var40; [-25|25]; 20
var41; [-25|25]; 20
var42; [-25|25]; 12
var43; [-25|25]; 4
var44; [-25|25]; 7
var45; [-25|25]; 13
var46; [-25|25]; 1
var47; [-25|25]; -25
var48; [-25|25]; 8
var49; [-25|25]; -4
var50; [-25|25]; -16
