Variavel; range [|] ou conjunto{}; default nao obrigatorio 
var1 ; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 2
var2 ; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -3
var3 ; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 2
var4 ; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 5
var5 ; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -5
var6 ; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -5
var7 ; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 0
var8 ; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 5
var9 ; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -1
var10; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 5
var11; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 5
var12; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -5
var13; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 0
var14; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 4
var15; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -5
var16; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 1
var17; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 2
var18; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 5
var19; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -1
var20; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -4
var21; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -5
var22; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -4
var23; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 2
var24; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 5
var25; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 3
var26; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -3
var27; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 2
var28; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -5
var29; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 3
var30; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -2
var31; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -1
var32; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 0
var33; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -5
var34; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 3
var35; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 5
var36; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -4
var37; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 3
var38; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -1
var39; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 5
var40; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 0
var41; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -1
var42; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 5
var43; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 5
var44; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 0
var45; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -1
var46; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -2
var47; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 3
var48; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -3
var49; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; 4
var50; {-5 -4 -3 -2 -1 0 1 2 3 4 5}; -2
